ILLTP-SYJ-cbn/SYJ101+1.p ; 18 ;  true
ILLTP-SYJ-cbn/SYJ102+1.p ; 31 ;  true
ILLTP-SYJ-cbn/SYJ103+1.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ104+1.p ; 30 ;  true
ILLTP-SYJ-cbn/SYJ105+1.002.p ; 146 ;  true
ILLTP-SYJ-cbn/SYJ105+1.003.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ105+1.004.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ106+1.p ; 549 ;  true
ILLTP-SYJ-cbn/SYJ107+1.001.p ; 319 ;  true
ILLTP-SYJ-cbn/SYJ107+1.002.p ; 4977 ;  true
ILLTP-SYJ-cbn/SYJ107+1.003.p ; 36792 ;  true
ILLTP-SYJ-cbn/SYJ107+1.004.p ; 151758 ;  true
ILLTP-SYJ-cbn/SYJ201+1.001.p ; 1486 ;  true
ILLTP-SYJ-cbn/SYJ201+1.002.p ; 16639 ;  true
ILLTP-SYJ-cbn/SYJ201+1.003.p ; 147094 ;  true
ILLTP-SYJ-cbn/SYJ201+1.004.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.005.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.006.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.007.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.008.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.009.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.010.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.011.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.012.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.013.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.014.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.015.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.016.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.017.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.018.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.019.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ201+1.020.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.001.p ; 17 ;  true
ILLTP-SYJ-cbn/SYJ202+1.002.p ; 42190 ;  true
ILLTP-SYJ-cbn/SYJ202+1.003.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.004.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.005.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.006.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.007.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.008.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.009.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.010.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.011.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.012.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.013.p ; timeout ; timeout
ILLTP-SYJ-cbn/SYJ202+1.014.p ; timeout ; timeout
